D1:1
D10:1
D13:1
D14:1
D15:1
D16:1
D19:1
D2:1
D20:1
D21:1
D22:1
D25:1
D28:1
D29:1
D3:1
D30:1
D31:1
D33:1
D34:1
D35:1
D36:1
D37:1
D4:1
D40:1
D41:1
D46:1
D49:1
D51:1
D52:1
D54:1
D55:1
D56:1
D58:1
D59:1
D68:1
D69:1
D7:1
D70:1
D71:1
D72:1
D75:1
D76:1
D77:1
D79:1
D8:1
D80:1
D81:1
D82:1
D83:1
D86:1
D9:1
D90:1
D91:1
D92:1
D93:1
J1:1
Q1:1
Q2:1
R1:1
R2:1
R3:1
R4:1
R5:1
R6:1
SW1:1
SW2:1
